Exp,Date,Forward,rf,Tenor,30.44,36.53,42.62,45.66,48.7,51.75,54.79,57.84,59.36,60.88,62.4,63.92,66.97,70.01,73.06,76.1,79.14,85.23,91.32
1M,12-Dec-22,61.109,0.0438,0.0877,62.483,54.348,46.386,42.35,38.206,33.879,29.276,24.282,21.626,18.95,16.611,15.714,19.456,24.435,28.751,32.452,35.686,41.15,45.675
2M,10-Jan-23,61.335,0.0456,0.1671,57.426,49.796,42.334,38.566,34.719,30.754,26.655,22.501,20.508,18.709,17.283,16.456,16.75,18.295,20.105,21.886,23.56,26.556,29.14
3M,10-Feb-23,61.591,0.0471,0.2521,51.825,45.289,38.973,35.825,32.651,29.434,26.178,22.95,21.409,19.982,18.744,17.773,16.827,17.088,18.055,19.303,20.617,23.142,25.41
4M,10-Mar-23,61.83,0.0482,0.3288,48.027,42.296,36.81,34.101,31.391,28.668,25.932,23.213,21.888,20.617,19.438,18.404,17.007,16.726,17.369,18.504,19.817,22.453,24.857
5M,10-Apr-23,62.1,0.0491,0.4137,44.641,39.68,34.965,32.65,30.341,28.024,25.689,23.339,22.166,21.005,19.873,18.798,17.022,16.244,16.716,17.895,19.276,21.976,24.374
6M,10-May-23,62.366,0.0498,0.4959,43.086,38.575,34.306,32.217,30.135,28.046,25.932,23.778,22.682,21.574,20.457,19.34,17.28,16.472,16.981,17.832,18.74,20.465,22.001
7M,12-Jun-23,62.661,0.0504,0.5863,42.695,38.346,34.242,32.237,30.242,28.24,26.213,24.143,23.084,22.004,20.901,19.773,17.515,17.008,17.459,17.935,18.393,19.238,19.996
8M,10-Jul-23,62.912,0.0508,0.663,41.168,37.153,33.383,31.551,29.735,27.923,26.1,24.252,23.313,22.361,21.395,20.411,18.414,17.01,16.963,17.448,17.95,18.89,19.733
9M,10-Aug-23,63.19,0.0511,0.7479,40.368,36.505,32.888,31.133,29.397,27.668,25.934,24.181,23.292,22.394,21.483,20.558,18.666,16.896,16.73,17.16,17.618,18.482,19.26
10M,11-Sep-23,63.473,0.0512,0.8356,40.112,36.278,32.687,30.945,29.222,27.506,25.784,24.044,23.161,22.269,21.363,20.443,18.553,16.771,16.708,17.044,17.398,18.066,18.674
11M,10-Oct-23,63.726,0.0512,0.9151,39.922,36.108,32.537,30.805,29.092,27.385,25.673,23.942,23.064,22.176,21.274,20.357,18.469,16.677,16.692,16.957,17.232,17.753,18.228
12M,10-Nov-23,63.993,0.0511,1,39.751,35.956,32.403,30.68,28.975,27.277,25.573,23.85,22.977,22.092,21.195,20.281,18.394,16.594,16.677,16.879,17.083,17.467,17.82
13M,11-Dec-23,64.254,0.051,1.0849,39.606,35.827,32.289,30.573,28.876,27.185,25.489,23.773,22.903,22.022,21.127,20.216,18.33,16.523,16.665,16.814,16.956,17.223,17.468
14M,10-Jan-24,64.502,0.0508,1.1671,39.827,36.152,32.726,31.07,29.437,27.815,26.195,24.564,23.74,22.909,22.069,21.216,19.465,17.675,16.263,16.311,16.483,16.801,17.093
15M,12-Feb-24,64.77,0.0505,1.2575,39.762,36.13,32.746,31.112,29.502,27.906,26.311,24.709,23.901,23.086,22.263,21.429,19.72,17.935,16.074,16.097,16.267,16.583,16.872
16M,11-Mar-24,64.993,0.0502,1.3342,39.617,35.994,32.619,30.989,29.383,27.79,26.199,24.6,23.794,22.981,22.159,21.326,19.62,17.837,16.013,16.042,16.197,16.487,16.753
17M,10-Apr-24,65.228,0.0499,1.4164,39.477,35.864,32.497,30.871,29.269,27.68,26.092,24.497,23.692,22.88,22.06,21.228,19.524,17.743,15.955,15.988,16.13,16.396,16.639
18M,10-May-24,65.459,0.0496,1.4986,39.353,35.748,32.389,30.766,29.167,27.581,25.997,24.404,23.6,22.79,21.971,21.141,19.438,17.659,15.902,15.941,16.071,16.313,16.536
19M,10-Jun-24,65.695,0.0492,1.5836,39.238,35.64,32.288,30.669,29.073,27.489,25.908,24.318,23.515,22.706,21.888,21.059,19.359,17.581,15.854,15.897,16.015,16.237,16.441
20M,10-Jul-24,65.918,0.0489,1.6658,39.137,35.547,32.2,30.584,28.99,27.409,25.83,24.242,23.441,22.633,21.816,20.988,19.289,17.513,15.811,15.858,15.967,16.171,16.358
21M,12-Aug-24,66.161,0.0485,1.7562,39.037,35.453,32.113,30.499,28.908,27.33,25.753,24.168,23.367,22.56,21.744,20.917,19.22,17.445,15.769,15.82,15.919,16.104,16.275
22M,10-Sep-24,66.371,0.0482,1.8356,38.957,35.378,32.043,30.431,28.843,27.266,25.692,24.108,23.308,22.502,21.687,20.86,19.165,17.391,15.735,15.789,15.881,16.051,16.208
23M,10-Oct-24,66.586,0.0478,1.9178,38.881,35.308,31.976,30.367,28.781,27.206,25.633,24.051,23.252,22.447,21.632,20.807,19.112,17.339,15.703,15.76,15.844,16.001,16.145
24M,12-Nov-24,66.819,0.0474,2.0082,38.804,35.236,31.909,30.302,28.718,27.145,25.574,23.994,23.196,22.391,21.577,20.752,19.059,17.287,15.671,15.731,15.807,15.95,16.081
