Exp,Date,Forward,rf,Tenor,30.44,36.53,42.62,45.66,48.7,51.75,54.79,57.84,59.36,60.88,62.4,63.92,66.97,70.01,73.06,76.1,79.14,85.23,91.32
1M,12-Dec-22,61.109,0.0438,0.0877,30.557,24.491,18.433,15.417,12.418,9.442,6.547,3.805,2.562,1.48,0.673,0.258,0.088,0.055,0.037,0.025,0.017,0.008,0.004
2M,10-Jan-23,61.335,0.0456,0.1671,30.675,24.644,18.639,15.664,12.717,9.808,6.992,4.338,3.14,2.09,1.257,0.692,0.206,0.075,0.033,0.016,0.008,0.003,0.001
3M,10-Feb-23,61.591,0.0471,0.2521,30.811,24.82,18.877,15.946,13.056,10.222,7.505,4.969,3.824,2.798,1.929,1.25,0.457,0.167,0.07,0.034,0.018,0.006,0.003
4M,10-Mar-23,61.83,0.0482,0.3288,30.937,24.984,19.096,16.203,13.362,10.59,7.947,5.488,4.37,3.351,2.457,1.713,0.722,0.288,0.129,0.069,0.042,0.019,0.01
5M,10-Apr-23,62.1,0.0491,0.4137,31.078,25.166,19.336,16.484,13.692,10.981,8.406,6.01,4.911,3.895,2.979,2.182,1.013,0.425,0.204,0.122,0.082,0.044,0.026
6M,10-May-23,62.366,0.0498,0.4959,31.222,25.357,19.596,16.788,14.049,11.397,8.881,6.534,5.448,4.432,3.497,2.657,1.335,0.633,0.344,0.205,0.129,0.056,0.026
7M,12-Jun-23,62.661,0.0504,0.5863,31.392,25.588,19.909,17.149,14.461,11.86,9.391,7.075,5.996,4.976,4.024,3.15,1.692,0.927,0.552,0.33,0.197,0.071,0.026
8M,10-Jul-23,62.912,0.0508,0.663,31.523,25.758,20.129,17.4,14.748,12.186,9.76,7.487,6.427,5.424,4.485,3.617,2.13,1.133,0.65,0.402,0.252,0.1,0.041
9M,10-Aug-23,63.19,0.0511,0.7479,31.676,25.959,20.388,17.691,15.071,12.541,10.143,7.892,6.838,5.838,4.896,4.02,2.491,1.347,0.793,0.504,0.324,0.136,0.059
10M,11-Sep-23,63.473,0.0512,0.8356,31.841,26.178,20.667,18,15.408,12.902,10.52,8.275,7.22,6.213,5.259,4.366,2.783,1.564,0.974,0.633,0.413,0.175,0.075
11M,10-Oct-23,63.726,0.0512,0.9151,31.992,26.375,20.916,18.274,15.705,13.219,10.851,8.61,7.552,6.54,5.577,4.67,3.043,1.763,1.144,0.758,0.5,0.215,0.092
12M,10-Nov-23,63.993,0.0511,1,32.152,26.585,21.177,18.56,16.015,13.548,11.192,8.955,7.895,6.877,5.906,4.985,3.317,1.977,1.331,0.898,0.6,0.263,0.113
13M,11-Dec-23,64.254,0.051,1.0849,32.312,26.792,21.433,18.839,16.314,13.865,11.52,9.287,8.226,7.203,6.223,5.29,3.584,2.19,1.52,1.043,0.706,0.315,0.136
14M,10-Jan-24,64.502,0.0508,1.1671,32.478,27.018,21.731,19.177,16.693,14.286,11.984,9.791,8.746,7.739,6.773,5.85,4.149,2.694,1.62,1.104,0.758,0.348,0.157
15M,12-Feb-24,64.77,0.0505,1.2575,32.649,27.241,22.008,19.481,17.023,14.639,12.355,10.176,9.136,8.131,7.163,6.237,4.518,3.017,1.777,1.227,0.856,0.408,0.191
16M,11-Mar-24,64.993,0.0502,1.3342,32.788,27.418,22.222,19.711,17.267,14.893,12.617,10.439,9.397,8.389,7.416,6.481,4.74,3.206,1.931,1.356,0.959,0.469,0.225
17M,10-Apr-24,65.228,0.0499,1.4164,32.936,27.605,22.446,19.951,17.521,15.159,12.889,10.713,9.67,8.658,7.679,6.737,4.973,3.406,2.097,1.496,1.072,0.539,0.266
18M,10-May-24,65.459,0.0496,1.4986,33.082,27.789,22.665,20.186,17.77,15.418,13.155,10.98,9.935,8.92,7.937,6.988,5.203,3.604,2.262,1.638,1.188,0.612,0.309
19M,10-Jun-24,65.695,0.0492,1.5836,33.232,27.976,22.888,20.425,18.021,15.68,13.423,11.249,10.203,9.185,8.196,7.241,5.436,3.807,2.434,1.786,1.311,0.691,0.358
20M,10-Jul-24,65.918,0.0489,1.6658,33.374,28.154,23.098,20.649,18.258,15.925,13.674,11.502,10.455,9.434,8.441,7.48,5.656,4.001,2.599,1.93,1.432,0.771,0.407
21M,12-Aug-24,66.161,0.0485,1.7562,33.53,28.347,23.326,20.891,18.513,16.19,13.945,11.775,10.726,9.702,8.705,7.737,5.895,4.212,2.781,2.09,1.567,0.862,0.465
22M,10-Sep-24,66.371,0.0482,1.8356,33.665,28.514,23.522,21.1,18.732,16.417,14.177,12.008,10.958,9.932,8.932,7.958,6.101,4.395,2.94,2.231,1.687,0.945,0.519
23M,10-Oct-24,66.586,0.0478,1.9178,33.803,28.684,23.721,21.311,18.954,16.647,14.412,12.244,11.194,10.166,9.161,8.184,6.311,4.582,3.103,2.377,1.813,1.033,0.577
24M,12-Nov-24,66.819,0.0474,2.0082,33.954,28.869,23.936,21.539,19.193,16.895,14.665,12.499,11.447,10.417,9.409,8.426,6.538,4.785,3.283,2.538,1.952,1.132,0.644
