Exp,Date,Forward,rf,Tenor,137.94,165.53,193.12,206.91,220.7,234.5,248.29,262.09,268.98,275.88,282.78,289.67,303.47,317.26,331.06,344.85,358.64,386.23,413.82
1M,12-Dec-22,276.92,0.0439,0.0877,69.92,59.541,49.217,43.928,38.488,32.905,27.381,22.558,20.696,19.309,18.54,18.363,18.79,19.682,20.74,21.834,22.911,24.935,26.763
2M,10-Jan-23,277.94,0.0455,0.1671,59.186,50.832,42.623,38.473,34.254,29.977,25.758,21.949,20.384,19.139,18.241,17.672,17.314,17.61,18.225,18.979,19.783,21.38,22.877
3M,10-Feb-23,279.102,0.0471,0.2521,53.245,46.199,39.375,35.978,32.571,29.162,25.82,22.727,21.374,20.211,19.273,18.57,17.818,17.744,18.096,18.684,19.386,20.894,22.369
4M,10-Mar-23,280.186,0.0482,0.3288,50.063,43.767,37.736,34.769,31.819,28.898,26.047,23.37,22.153,21.055,20.107,19.331,18.329,17.998,18.154,18.609,19.228,20.653,22.101
5M,10-Apr-23,281.409,0.0491,0.4137,47.498,41.88,36.53,33.907,31.304,28.72,26.173,23.712,22.544,21.442,20.431,19.543,18.317,17.945,18.104,18.516,19.05,20.244,21.443
6M,10-May-23,282.612,0.0498,0.4959,45.704,40.583,35.72,33.338,30.969,28.605,26.246,23.909,22.763,21.648,20.584,19.61,18.225,17.859,18.051,18.446,18.918,19.919,20.894
7M,12-Jun-23,283.949,0.0504,0.5863,44.261,39.546,35.079,32.889,30.707,28.516,26.304,24.061,22.932,21.806,20.702,19.663,18.154,17.791,18.01,18.392,18.815,19.663,20.458
8M,10-Jul-23,285.089,0.0508,0.663,43.321,38.808,34.541,32.454,30.376,28.292,26.187,24.052,22.973,21.893,20.826,19.805,18.204,17.843,18.039,18.362,18.716,19.419,20.079
9M,10-Aug-23,286.347,0.051,0.7479,42.487,38.144,34.047,32.047,30.058,28.067,26.06,24.026,22.998,21.966,20.941,19.945,18.263,17.904,18.074,18.338,18.624,19.192,19.727
10M,11-Sep-23,287.631,0.0512,0.8356,41.793,37.592,33.637,31.709,29.796,27.882,25.956,24.005,23.018,22.026,21.034,20.059,18.312,17.953,18.102,18.317,18.548,19.004,19.435
11M,10-Oct-23,288.778,0.0512,0.9151,41.271,37.178,33.33,31.457,29.6,27.744,25.878,23.989,23.033,22.07,21.103,20.143,18.347,17.989,18.123,18.302,18.491,18.864,19.215
12M,10-Nov-23,289.985,0.0511,1,40.799,36.804,33.054,31.23,29.424,27.621,25.809,23.975,23.046,22.109,21.165,20.218,18.379,18.022,18.142,18.289,18.441,18.738,19.017
13M,11-Dec-23,291.169,0.051,1.0849,40.396,36.486,32.818,31.038,29.274,27.516,25.75,23.963,23.058,22.142,21.216,20.281,18.406,18.049,18.157,18.277,18.398,18.631,18.848
14M,10-Jan-24,292.294,0.0508,1.1671,40.059,36.219,32.622,30.877,29.15,27.429,25.701,23.953,23.067,22.17,21.259,20.333,18.428,18.072,18.17,18.268,18.363,18.541,18.707
15M,12-Feb-24,293.507,0.0505,1.2575,39.735,35.956,32.42,30.706,29.011,27.323,25.63,23.918,23.051,22.173,21.281,20.374,18.499,18.01,18.076,18.166,18.254,18.42,18.573
16M,11-Mar-24,294.519,0.0502,1.3342,39.491,35.757,32.265,30.573,28.901,27.237,25.569,23.884,23.031,22.168,21.293,20.403,18.566,17.939,17.973,18.063,18.151,18.319,18.474
17M,10-Apr-24,295.584,0.0499,1.4164,39.259,35.567,32.117,30.446,28.796,27.155,25.51,23.851,23.012,22.163,21.303,20.429,18.63,17.871,17.875,17.964,18.053,18.222,18.379
18M,10-May-24,296.632,0.0496,1.4986,39.05,35.397,31.984,30.333,28.702,27.081,25.459,23.823,22.995,22.159,21.313,20.453,18.686,17.811,17.786,17.875,17.965,18.136,18.294
19M,10-Jun-24,297.697,0.0492,1.5836,38.856,35.239,31.861,30.228,28.615,27.013,25.411,23.796,22.98,22.156,21.322,20.475,18.738,17.754,17.705,17.793,17.883,18.055,18.215
20M,10-Jul-24,298.712,0.0489,1.6658,38.687,35.1,31.754,30.136,28.539,26.954,25.369,23.772,22.966,22.152,21.329,20.494,18.783,17.705,17.633,17.721,17.811,17.985,18.146
21M,12-Aug-24,299.811,0.0485,1.7562,38.518,34.963,31.647,30.044,28.464,26.895,25.327,23.749,22.953,22.149,21.337,20.513,18.828,17.657,17.562,17.649,17.74,17.915,18.078
22M,10-Sep-24,300.764,0.0482,1.8356,38.383,34.853,31.561,29.971,28.404,26.848,25.294,23.731,22.942,22.147,21.343,20.529,18.864,17.617,17.505,17.591,17.683,17.859,18.023
23M,10-Oct-24,301.737,0.0478,1.9178,38.254,34.748,31.48,29.902,28.346,26.803,25.262,23.713,22.932,22.144,21.348,20.543,18.897,17.58,17.451,17.537,17.628,17.805,17.971
24M,12-Nov-24,302.795,0.0474,2.0082,38.125,34.642,31.398,29.832,28.289,26.758,25.231,23.696,22.922,22.142,21.354,20.557,18.931,17.543,17.396,17.482,17.574,17.752,17.918
