Exp,Date,Forward,rf,Tenor,48.13,57.76,67.38,72.19,77.01,81.82,86.63,91.45,93.85,96.26,98.67,101.07,105.89,110.7,115.51,120.33,125.14,134.76,144.39
1M,12-Dec-22,96.623,0.0439,0.0877,48.32,38.743,29.218,24.493,19.81,15.232,10.841,6.831,5.095,3.608,2.425,1.556,0.581,0.21,0.08,0.032,0.014,0.003,0.001
2M,10-Jan-23,96.979,0.0455,0.1671,48.518,39.018,29.625,25.004,20.465,16.083,11.942,8.191,6.539,5.068,3.809,2.782,1.369,0.635,0.292,0.139,0.07,0.021,0.007
3M,10-Feb-23,97.384,0.0471,0.2521,48.762,39.371,30.16,25.673,21.303,17.124,13.207,9.656,8.068,6.62,5.333,4.22,2.506,1.413,0.778,0.427,0.24,0.082,0.031
4M,10-Mar-23,97.762,0.0482,0.3288,49.008,39.732,30.703,26.336,22.107,18.082,14.318,10.891,9.341,7.907,6.606,5.449,3.564,2.237,1.368,0.827,0.503,0.193,0.079
5M,10-Apr-23,98.189,0.0491,0.4137,49.269,40.1,31.219,26.942,22.811,18.886,15.21,11.844,10.309,8.874,7.558,6.37,4.384,2.922,1.909,1.235,0.798,0.335,0.143
6M,10-May-23,98.609,0.0498,0.4959,49.542,40.484,31.747,27.553,23.507,19.662,16.055,12.733,11.204,9.767,8.434,7.218,5.143,3.571,2.448,1.671,1.141,0.532,0.249
7M,12-Jun-23,99.076,0.0504,0.5863,49.867,40.94,32.364,28.256,24.296,20.531,16.989,13.706,12.184,10.742,9.393,8.148,5.984,4.303,3.075,2.2,1.579,0.817,0.425
8M,10-Jul-23,99.473,0.0508,0.663,50.146,41.325,32.871,28.829,24.933,21.228,17.736,14.489,12.978,11.54,10.187,8.931,6.716,4.949,3.616,2.639,1.932,1.043,0.567
9M,10-Aug-23,99.912,0.0510,0.7479,50.458,41.75,33.424,29.447,25.615,21.968,18.526,15.314,13.813,12.38,11.026,9.76,7.499,5.65,4.211,3.127,2.328,1.303,0.737
10M,11-Sep-23,100.36,0.0512,0.8356,50.783,42.187,33.983,30.067,26.294,22.7,19.302,16.122,14.631,13.202,11.846,10.572,8.272,6.351,4.816,3.633,2.746,1.589,0.931
11M,10-Oct-23,100.76,0.0512,0.9151,51.076,42.578,34.478,30.613,26.888,23.337,19.976,16.821,15.337,13.912,12.555,11.275,8.944,6.966,5.355,4.091,3.13,1.86,1.121
12M,10-Nov-23,101.182,0.0511,1,51.389,42.991,34.995,31.18,27.503,23.994,20.667,17.537,16.061,14.639,13.281,11.996,9.636,7.605,5.92,4.577,3.545,2.159,1.337
13M,11-Dec-23,101.595,0.0510,1.0849,51.698,43.396,35.498,31.73,28.097,24.626,21.331,18.223,16.753,15.335,13.977,12.687,10.303,8.224,6.473,5.059,3.96,2.467,1.564
14M,10-Jan-24,101.987,0.0508,1.1671,51.995,43.782,35.973,32.247,28.653,25.217,21.949,18.861,17.397,15.982,14.624,13.33,10.925,8.806,6.998,5.52,4.361,2.771,1.793
15M,12-Feb-24,102.411,0.0505,1.2575,52.298,44.174,36.456,32.774,29.221,25.823,22.587,19.524,18.07,16.662,15.307,14.013,11.598,9.449,7.593,6.049,4.816,3.077,1.978
16M,11-Mar-24,102.763,0.0502,1.3342,52.545,44.492,36.847,33.201,29.681,26.314,23.105,20.064,18.617,17.216,15.866,14.573,12.153,9.986,8.095,6.501,5.204,3.328,2.115
17M,10-Apr-24,103.135,0.0499,1.4164,52.806,44.827,37.257,33.647,30.162,26.826,23.644,20.625,19.187,17.792,16.446,15.156,12.731,10.546,8.622,6.978,5.617,3.6,2.264
18M,10-May-24,103.501,0.0496,1.4986,53.063,45.156,37.658,34.083,30.63,27.324,24.168,21.169,19.74,18.35,17.009,15.721,13.292,11.091,9.137,7.447,6.026,3.874,2.415
19M,10-Jun-24,103.872,0.0492,1.5836,53.325,45.49,38.063,34.522,31.101,27.824,24.693,21.715,20.293,18.91,17.573,16.287,13.855,11.64,9.658,7.923,6.445,4.158,2.574
20M,10-Jul-24,104.227,0.0489,1.6658,53.575,45.807,38.447,34.937,31.546,28.296,25.188,22.228,20.814,19.437,18.104,16.82,14.387,12.159,10.151,8.378,6.846,4.433,2.73
21M,12-Aug-24,104.61,0.0485,1.7562,53.846,46.15,38.86,35.383,32.023,28.801,25.718,22.778,21.371,20,18.672,17.39,14.955,12.715,10.682,8.868,7.282,4.737,2.903
22M,10-Sep-24,104.943,0.0482,1.8356,54.081,46.446,39.215,35.767,32.434,29.234,26.171,23.248,21.848,20.482,19.157,17.879,15.442,13.193,11.14,9.293,7.662,5.004,3.058
23M,10-Oct-24,105.282,0.0478,1.9178,54.32,46.747,39.576,36.155,32.848,29.672,26.63,23.723,22.33,20.969,19.648,18.371,15.934,13.676,11.603,9.724,8.049,5.281,3.219
24M,12-Nov-24,105.651,0.0474,2.0082,54.581,47.073,39.966,36.574,33.294,30.143,27.122,24.233,22.846,21.491,20.175,18.901,16.463,14.196,12.103,10.191,8.471,5.584,3.398
