Date,US1YT=RR
22/11/2023,5.2914
21/11/2023,5.257
20/11/2023,5.266
17/11/2023,5.253
16/11/2023,5.24
15/11/2023,5.279
14/11/2023,5.25
13/11/2023,5.379
10/11/2023,5.388
09/11/2023,5.39
08/11/2023,5.344
07/11/2023,5.331
06/11/2023,5.334
03/11/2023,5.291
02/11/2023,5.383
01/11/2023,5.389
31/10/2023,5.461
30/10/2023,5.431
27/10/2023,5.416
26/10/2023,5.417
25/10/2023,5.454
24/10/2023,5.44
23/10/2023,5.425
20/10/2023,5.42
19/10/2023,5.449
18/10/2023,5.471
17/10/2023,5.486
16/10/2023,5.423
13/10/2023,5.407
12/10/2023,5.426
11/10/2023,5.382
10/10/2023,5.361
06/10/2023,5.427
05/10/2023,5.388
04/10/2023,5.422
03/10/2023,5.497
02/10/2023,5.508
29/9/2023,5.47
28/9/2023,5.478
27/9/2023,5.503
26/9/2023,5.476
25/9/2023,5.466
22/9/2023,5.461
21/9/2023,5.465
20/9/2023,5.466
19/9/2023,5.45
18/9/2023,5.448
15/9/2023,5.432
14/9/2023,5.423
13/9/2023,5.418
12/9/2023,5.421
11/9/2023,5.416
08/9/2023,5.411
07/9/2023,5.408
06/9/2023,5.441
05/9/2023,5.439
01/9/2023,5.379
31/8/2023,5.387
30/8/2023,5.404
29/8/2023,5.397
28/8/2023,5.46
25/8/2023,5.447
24/8/2023,5.405
23/8/2023,5.364
22/8/2023,5.398
21/8/2023,5.379
18/8/2023,5.352
17/8/2023,5.373
16/8/2023,5.377
15/8/2023,5.369
14/8/2023,5.378
11/8/2023,5.356
10/8/2023,5.336
09/8/2023,5.353
08/8/2023,5.332
07/8/2023,5.341
04/8/2023,5.347
03/8/2023,5.39
02/8/2023,5.382
01/8/2023,5.399
31/7/2023,5.392
28/7/2023,5.387
27/7/2023,5.402
26/7/2023,5.384
25/7/2023,5.409
24/7/2023,5.385
21/7/2023,5.35
20/7/2023,5.349
19/7/2023,5.322
18/7/2023,5.322
17/7/2023,5.326
14/7/2023,5.329
13/7/2023,5.273
12/7/2023,5.345
11/7/2023,5.414
10/7/2023,5.41
07/7/2023,5.424
06/7/2023,5.45
05/7/2023,5.418
03/7/2023,5.44
30/6/2023,5.411
29/6/2023,5.43
28/6/2023,5.342
27/6/2023,5.332
26/6/2023,5.272
23/6/2023,5.256
22/6/2023,5.299
21/6/2023,5.261
20/6/2023,5.24
16/6/2023,5.232
15/6/2023,5.221
14/6/2023,5.271
13/6/2023,5.25
12/6/2023,5.221
09/6/2023,5.2
08/6/2023,5.157
07/6/2023,5.188
06/6/2023,5.23
05/6/2023,5.214
02/6/2023,5.25
01/6/2023,5.142
31/5/2023,5.2
30/5/2023,5.25
26/5/2023,5.278
25/5/2023,5.236
24/5/2023,5.13
23/5/2023,5.092
22/5/2023,5.071
19/5/2023,5.019
18/5/2023,5.021
17/5/2023,4.926
16/5/2023,4.91
15/5/2023,4.793
12/5/2023,4.799
11/5/2023,4.755
10/5/2023,4.755
09/5/2023,4.864
08/5/2023,4.843
05/5/2023,4.773
04/5/2023,4.633
03/5/2023,4.764
02/5/2023,4.748
01/5/2023,4.871
28/4/2023,4.814
27/4/2023,4.799
26/4/2023,4.663
25/4/2023,4.631
24/4/2023,4.765
21/4/2023,4.776
20/4/2023,4.761
19/4/2023,4.825
18/4/2023,4.826
17/4/2023,4.845
14/4/2023,4.818
13/4/2023,4.692
12/4/2023,4.679
11/4/2023,4.717
10/4/2023,4.677
07/4/2023,4.655
06/4/2023,4.512
05/4/2023,4.443
04/4/2023,4.49
03/4/2023,4.618
31/3/2023,4.624
30/3/2023,4.614
29/3/2023,4.566
28/3/2023,4.536
27/3/2023,4.509
24/3/2023,4.325
23/3/2023,4.375
22/3/2023,4.514
21/3/2023,4.631
20/3/2023,4.386
17/3/2023,4.306
16/3/2023,4.493
15/3/2023,4.278
14/3/2023,4.475
13/3/2023,4.292
10/3/2023,4.876
09/3/2023,5.182
08/3/2023,5.243
07/3/2023,5.214
06/3/2023,5.056
03/3/2023,5.029
02/3/2023,5.053
01/3/2023,5.059
28/2/2023,5.01
27/2/2023,5.03
24/2/2023,5.052
23/2/2023,5.029
22/2/2023,5.065
21/2/2023,5.035
17/2/2023,5
16/2/2023,4.969
15/2/2023,4.973
14/2/2023,4.989
13/2/2023,4.919
10/2/2023,4.895
09/2/2023,4.88
08/2/2023,4.873
07/2/2023,4.881
06/2/2023,4.857
03/2/2023,4.774
02/2/2023,4.639
01/2/2023,4.661
31/1/2023,4.686
30/1/2023,4.714
27/1/2023,4.679
26/1/2023,4.672
25/1/2023,4.665
24/1/2023,4.685
23/1/2023,4.713
20/1/2023,4.694
19/1/2023,4.677
18/1/2023,4.65
17/1/2023,4.683
13/1/2023,4.7
12/1/2023,4.682
11/1/2023,4.737
10/1/2023,4.756
09/1/2023,4.7
06/1/2023,4.714
05/1/2023,4.772
04/1/2023,4.71
03/1/2023,4.713
30/12/2022,4.733
29/12/2022,4.691
28/12/2022,4.703
27/12/2022,4.707
23/12/2022,4.672
22/12/2022,4.66
21/12/2022,4.607
